Time (s),DHA (µl/min),NaOH (µl/min),CaCl2 (µl/min),formaldehyde (µl/min),water_1 (µl/min),water_2 (µl/min)
14953.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14954.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14955.0,24.558333333333334,5.861324751710851,42.78374569761171,24.558333333333334,24.794131442005373,24.794131442005373
14956.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14957.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14958.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14959.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14960.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14961.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14962.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14963.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14964.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14965.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14966.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14967.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14968.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14969.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14970.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14971.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14972.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14973.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14974.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14975.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14976.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14977.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14978.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14979.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14980.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14981.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14982.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14983.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14984.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14985.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14986.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14987.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14988.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14989.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14990.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14991.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14992.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14993.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14994.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14995.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14996.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14997.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14998.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
14999.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
15000.0,24.558333333333334,5.861324751710851,4.554876019071704,24.558333333333334,43.90856628127538,43.90856628127538
15001.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15002.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15003.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15004.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15005.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15006.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15007.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15008.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15009.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15010.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15011.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15012.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15013.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15014.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15015.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15016.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15017.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15018.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15019.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15020.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15021.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15022.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15023.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15024.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15025.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15026.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15027.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15028.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15029.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15030.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15031.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15032.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15033.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15034.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15035.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15036.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15037.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15038.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15039.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15040.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15041.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15042.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15043.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15044.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15045.0,24.558333333333334,33.18708166618268,45.693547548634065,24.558333333333334,9.676352059258285,9.676352059258285
15046.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15047.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15048.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15049.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15050.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15051.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15052.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15053.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15054.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15055.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15056.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15057.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15058.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15059.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15060.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15061.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15062.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15063.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15064.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15065.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15066.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15067.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15068.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15069.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15070.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15071.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15072.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
15073.0,24.558333333333334,33.18708166618268,14.610568069707808,24.558333333333334,25.21784179872141,25.21784179872141
