,input_compound,target_compound,section,test_mase,train_mase
82,cacl2,CIT,1,0.3923899343019733,0.2077283763349489
83,cacl2,DAP,1,0.2783491793476098,0.1560754062844331
84,cacl2,E4P,1,0.6824619076334396,0.25372329531296056
85,cacl2,F6P,1,0.24381899789064862,0.1409248745679374
86,cacl2,FDP,1,0.31720910862839297,0.16377849956890062
87,cacl2,FUM,1,0.2208865189105526,0.1250343172049596
88,cacl2,G6P,1,0.1778453563493677,0.12574664569888552
89,cacl2,GAP,1,0.2935038871082345,0.1587561049224203
90,cacl2,GL6P,1,0.27200874823861254,0.14699126891716469
91,cacl2,GLX,1,0.39077210834062936,0.18815776904090917
92,cacl2,ICIT,1,0.3894051587939093,0.21882433466173934
93,cacl2,KDPG,1,0.45968295962112016,0.18865964689399625
94,cacl2,MAL,1,0.2349206353368935,0.14373915136010074
95,cacl2,NAD,1,0.7184025650325113,0.5096349679207157
96,cacl2,NADH,1,0.7184025650325249,0.5096349679207136
97,cacl2,NADP,1,0.5412526190131525,0.44199570422335127
98,cacl2,NADPH,1,0.3122048124851578,0.16551075753354688
99,cacl2,OAA,1,0.38568127177403594,0.2447191322546466
100,cacl2,PEP,1,0.38606417934706944,0.1644758150316871
101,cacl2,PGA2,1,0.24952727396288785,0.1182003482500721
102,cacl2,PGA3,1,0.24134091898733248,0.1340833374090812
103,cacl2,PGN,1,0.23845519862543835,0.11656446291479748
104,cacl2,PYR,1,0.3604609713096903,0.2330855564400496
105,cacl2,Q,1,0.4294720448681223,0.28468915331364114
106,cacl2,QH2,1,0.42947204486814533,0.2846891533136254
107,cacl2,R5P,1,0.41584720724209445,0.34194488252310135
108,cacl2,RU5P,1,0.20666487626785027,0.16861722771964918
109,cacl2,S7P,1,0.278700654962826,0.16798680245590564
110,cacl2,SUC,1,0.9454900397267317,0.42866582353090876
111,cacl2,SUCCOA,1,0.3747607531383958,0.2182867085947829
112,cacl2,X5P,1,0.3511585361635672,0.21089133906605106
113,cacl2,ei,1,0.42623740413211825,0.26454569317278637
114,cacl2,eiP,1,0.4262374041324014,0.26454569317296184
115,cacl2,eiia,1,0.4629627050863853,0.2704058952136483
116,cacl2,eiiaP,1,0.46296270508955834,0.27040589521413
117,cacl2,eiicb,1,0.46307294143565353,0.2704296280683976
118,cacl2,eiicbP,1,0.4630729416638493,0.27042962803475346
119,cacl2,hpr,1,0.4609579001859896,0.27011159995107015
120,cacl2,hprP,1,0.4609579001988401,0.27011159995117373
121,cacl2,icd,1,0.24212120798397843,0.12716946020599323
122,cacl2,icdP,1,0.24212120798265158,0.12716946020652542
123,cacl2,tal,1,0.2311125118268237,0.1564829827460905
124,cacl2,talC3,1,0.23111251182681367,0.15648298274614256
125,cacl2,tkt,1,0.278753366399597,0.16036289696587477
126,cacl2,tktC2,1,0.27875336639983095,0.16036289696595807
127,cacl2,ADP,1,0.39207204856956346,0.25449750259181014
128,cacl2,AMP,1,0.27420082520500844,0.14946547951912112
129,cacl2,ATP,1,0.33643859750027844,0.22009152252378728
130,cacl2,CAMP,1,0.3128439322432959,0.17988362931506607
131,cacl2,P,1,0.6167082327940226,0.2847306977723018
132,cacl2,ASP,1,0.3937754737924557,0.24812854449442656
133,cacl2,FAD,1,0.2702398170344042,0.15591278323912341
134,cacl2,FADH2,1,0.27023981703439276,0.15591278323912358
135,cacl2,ACEx,1,0.3293832355503605,0.2269257722527269
136,cacl2,GLCx,1,0.9299965245608932,1.0
137,cacl2,ACEx_0,1,1.4841476705937524,0.1932970442486945
138,cacl2,Hout,1,0.5392726432457471,0.37050185753057074
139,cacl2,GLCp,1,1.352752756401551,1.0
140,cacl2,Pp,1,0.5078890169078705,0.33577606820575745
141,cacl2,ACEp,1,1.0552943500663812,0.21515329130387106
142,cacl2,G3P,1,0.2281217808157513,0.11897779307186396
