input_compound,trace_label,dt,section,mutual_info
NaOH,205.06_0.62,-300,0,0.33189522258843196
NaOH,205.06_0.634,-300,0,0.23067019772534714
NaOH,205.06_0.671,-300,0,0.6155715044200769
NaOH,206.05_0.591,-300,0,0.5724981680959997
NaOH,206.05_0.626,-300,0,0.44556984216967344
NaOH,206.06_0.584,-300,0,0.5837560537390631
NaOH,206.06_0.619,-300,0,0.34809115170258265
NaOH,206.06_0.634,-300,0,0.24344422275751532
NaOH,206.06_0.671,-300,0,0.301191355413593
NaOH,207.05_0.586,-300,0,0.7845974863218332
NaOH,207.05_0.62,-300,0,0.4643423090138077
NaOH,207.05_0.636,-300,0,0.26239404114258047
NaOH,207.05_0.669,-300,0,0.39882213761496876
NaOH,207.05_0.685,-300,0,0.6343797808836289
NaOH,208.06_0.563,-300,0,0.40339997763070157
NaOH,208.06_0.585,-300,0,0.7069256526908037
NaOH,208.06_0.619,-300,0,0.3708459700167652
NaOH,208.06_0.634,-300,0,0.2606679834832111
NaOH,209.05_0.59,-300,0,0.6027511150063192
NaOH,209.05_0.623,-300,0,0.4621561216053256
NaOH,209.05_0.636,-300,0,0.239118894545586
NaOH,213.05_0.591,-300,0,0.5800019541059149
NaOH,213.05_0.626,-300,0,0.3048593547187255
NaOH,213.05_0.642,-300,0,0.45717745698339485
NaOH,214.06_0.567,-300,0,0.3258870455172116
NaOH,214.06_0.587,-300,0,0.7829393736755361
NaOH,214.06_0.624,-300,0,0.3736808449895226
NaOH,214.06_0.636,-300,0,0.30525136787138685
NaOH,215.05_0.596,-300,0,0.5881669499345175
NaOH,215.05_0.619,-300,0,0.4173847168562781
NaOH,215.05_0.633,-300,0,0.6013172975535079
NaOH,215.05_0.685,-300,0,0.6058272413941892
NaOH,216.06_0.592,-300,0,0.6748125971032484
NaOH,216.06_0.626,-300,0,0.4082447828049167
NaOH,216.06_0.642,-300,0,0.4082791262144938
NaOH,216.06_0.689,-300,0,0.33611762901084097
NaOH,220.06_0.595,-300,0,0.62941993607854
NaOH,220.06_0.632,-300,0,0.17431841304733497
NaOH,220.06_0.644,-300,0,0.41641040120757955
NaOH,221.05_0.6,-300,0,0.5321081048180454
NaOH,221.05_0.636,-300,0,0.44442362624024767
NaOH,221.05_0.679,-300,0,0.3639902394315757
NaOH,222.06_0.597,-300,0,0.7244652183682962
NaOH,222.06_0.632,-300,0,0.5692362206835648
NaOH,222.06_0.648,-300,0,0.2067799381880464
NaOH,222.56_0.597,-300,0,0.5877359143266445
NaOH,222.56_0.632,-300,0,0.3118855218365897
NaOH,222.56_0.648,-300,0,0.22291028762570297
NaOH,224.05_0.6,-300,0,0.5984978790096465
NaOH,224.05_0.633,-300,0,0.458259774656391
NaOH,224.05_0.648,-300,0,0.299584717903314
NaOH,227.05_0.602,-300,0,0.5827875720571245
NaOH,227.05_0.64,-300,0,0.6238662399306945
NaOH,227.05_0.679,-300,0,0.6026394147055933
NaOH,227.05_0.691,-300,0,0.6347440576259604
NaOH,227.05_0.725,-300,0,0.346583070476834
NaOH,227.05_0.727,-300,0,0.3598859576382698
NaOH,228.06_0.6,-300,0,0.4961138220395709
NaOH,228.06_0.636,-300,0,0.38250181040851094
NaOH,228.06_0.65,-300,0,0.34043956954446575
NaOH,228.06_0.679,-300,0,0.6529471796826858
NaOH,228.06_0.692,-300,0,0.6556205642791912
NaOH,229.07_0.575,-300,0,0.253450275217431
NaOH,229.07_0.597,-300,0,0.6403633804220568
NaOH,229.07_0.636,-300,0,0.47480599214231844
NaOH,229.07_0.65,-300,0,0.5085454439783006
NaOH,229.07_0.692,-300,0,0.5191301105888053
NaOH,229.07_0.707,-300,0,0.5973724810300802
NaOH,230.05_0.606,-300,0,0.6026341557993087
NaOH,230.05_0.64,-300,0,0.46883543285320384
NaOH,230.05_0.654,-300,0,0.37544989015473273
NaOH,230.05_0.692,-300,0,0.47677023758205417
NaOH,230.05_0.707,-300,0,0.39482864533812245
NaOH,231.06_0.602,-300,0,0.6700638034470545
NaOH,231.06_0.636,-300,0,0.4982886445770691
NaOH,231.06_0.652,-300,0,0.5281099467877355
NaOH,231.06_0.689,-300,0,0.4847566517921358
NaOH,233.06_0.576,-300,0,0.373381045426771
NaOH,233.06_0.605,-300,0,0.6837926330251576
NaOH,233.06_0.657,-300,0,0.3272899880581255
NaOH,233.06_0.699,-300,0,0.8715174276833193
NaOH,234.02_0.59,-300,0,0.4224523327186369
NaOH,234.02_0.597,-300,0,0.47134829254395916
NaOH,234.02_0.608,-300,0,0.3810963257536981
NaOH,234.02_0.629,-300,0,0.4623204491937445
NaOH,236.06_0.608,-300,0,0.5646146319715304
NaOH,236.06_0.644,-300,0,0.40105605439426695
NaOH,236.06_0.657,-300,0,0.2989151042491476
NaOH,236.06_0.701,-300,0,0.28862610741534134
NaOH,236.06_0.732,-300,0,0.2025273631908191
NaOH,237.06_0.606,-300,0,0.7286915943686161
NaOH,237.06_0.64,-300,0,0.5146232344454984
NaOH,237.06_0.655,-300,0,0.4210991229310199
NaOH,237.06_0.705,-300,0,0.5220970066771016
NaOH,239.06_0.608,-300,0,0.5830308761687433
